Gene_Family,TF_Count
ERF,28
bHLH,25
WRKY,24
MYB_related,18
C3H,18
GRAS,16
C2H2,16
bZIP,15
G2-like,11
TCP,9
NAC,9
MYB,7
YABBY,6
HSF,5
NF-X1,5
GATA,5
Trihelix,4
EIL,3
SRS,3
FAR1,2
ARF,2
NF-YA,2
LSD,2
SBP,2
HD-ZIP,2
HB-other,2
NF-YB,2
LBD,2
B3,2
WOX,1
S1Fa-like,1
GeBP,1
CO-like,1
AP2,1
BBR-BPC,1
LFY,1
BES1,1
M-type_MADS,1
Whirly,1
CAMTA,1
Dof,1
